subject,ptm,reps,heights,mean,best
P03,gravity,3,"[26.64, 26.95, 26.79]",26.79,26.95
P04,gravity,3,"[10.52, 9.19, 8.29]",9.33,10.52
P05,gravity,3,"[18.81, 16.93, 22.49]",19.41,22.49
P06,gravity,3,"[27.85, 24.67, 24.89]",25.8,27.85
P07,gravity,3,"[16.71, 20.96, 18.39]",18.69,20.96
P08,gravity,3,"[17.69, 18.9, 23.81]",20.13,23.81
P09,gravity,3,"[9.73, 11.15, 10.98]",10.62,11.15
P10,gravity,3,"[14.36, 16.45, 15.36]",15.39,16.45
P11,gravity,3,"[25.0, 24.15, 23.72]",24.29,25.0
P12,gravity,3,"[18.83, 20.84, 30.73]",23.47,30.73
P13,gravity,3,"[40.03, 34.06, 35.77]",36.62,40.03
P14,gravity,3,"[22.95, 29.16, 25.46]",25.86,29.16
P15,gravity,3,"[35.44, 30.0, 32.27]",32.57,35.44
P16,gravity,3,"[43.4, 43.04, 43.31]",43.25,43.4
P17,gravity,3,"[73.29, 69.89, 69.97]",71.05,73.29
P18,gravity,3,"[28.73, 27.44, 33.74]",29.97,33.74
