subject,ptm,reps,heights,mean,best
P03,height,3,"[24.96, 25.25, 25.02]",25.08,25.25
P04,height,3,"[7.07, 9.15, 8.26]",8.16,9.15
P05,height,3,"[18.36, 16.52, 15.68]",16.85,18.36
P06,height,3,"[19.89, 22.25, 22.45]",21.53,22.45
P07,height,3,"[14.85, 18.62, 16.33]",16.6,18.62
P08,height,3,"[14.89, 15.91, 18.57]",16.46,18.57
P09,height,3,"[8.79, 8.96, 9.92]",9.22,9.92
P10,height,3,"[10.51, 15.46, 14.43]",13.47,15.46
P11,height,3,"[25.59, 21.18, 24.29]",23.69,25.59
P12,height,3,"[19.08, 19.89, 22.17]",20.38,22.17
P13,height,3,"[31.94, 31.63, 32.87]",32.15,32.87
P14,height,3,"[16.16, 20.2, 21.08]",19.15,21.08
P15,height,3,"[26.38, 28.33, 27.57]",27.43,28.33
P16,height,3,"[36.78, 36.47, 36.7]",36.65,36.78
P17,height,3,"[53.52, 51.04, 51.1]",51.89,53.52
P18,height,3,"[21.21, 21.93, 25.83]",22.99,25.83
