task,subject,method,coord_dims,coord_source,mmc_rom,omc_rom,error
Nordic curl,P03,2D_norm,2D,normalized,95.14,88.99,6.16
Nordic curl,P03,3D_norm,3D,normalized,125.59,88.99,36.6
Nordic curl,P03,2D_world,2D,world,105.86,88.99,16.87
Nordic curl,P03,3D_world,3D,world,107.35,88.99,18.36
Nordic curl,P04,2D_norm,2D,normalized,139.21,122.13,17.08
Nordic curl,P04,3D_norm,3D,normalized,140.66,122.13,18.54
Nordic curl,P04,2D_world,2D,world,125.2,122.13,3.07
Nordic curl,P04,3D_world,3D,world,121.36,122.13,0.76
Nordic curl,P05,2D_norm,2D,normalized,135.49,127.58,7.91
Nordic curl,P05,3D_norm,3D,normalized,134.2,127.58,6.62
Nordic curl,P05,2D_world,2D,world,116.46,127.58,11.12
Nordic curl,P05,3D_world,3D,world,115.41,127.58,12.17
Nordic curl,P06,2D_norm,2D,normalized,116.73,95.42,21.31
Nordic curl,P06,3D_norm,3D,normalized,127.71,95.42,32.3
Nordic curl,P06,2D_world,2D,world,113.47,95.42,18.06
Nordic curl,P06,3D_world,3D,world,112.4,95.42,16.99
Nordic curl,P07,2D_norm,2D,normalized,106.18,87.99,18.19
Nordic curl,P07,3D_norm,3D,normalized,121.57,87.99,33.58
Nordic curl,P07,2D_world,2D,world,96.43,87.99,8.44
Nordic curl,P07,3D_world,3D,world,97.53,87.99,9.54
Nordic curl,P08,2D_norm,2D,normalized,131.82,109.02,22.8
Nordic curl,P08,3D_norm,3D,normalized,141.21,109.02,32.19
Nordic curl,P08,2D_world,2D,world,121.07,109.02,12.05
Nordic curl,P08,3D_world,3D,world,121.71,109.02,12.69
Nordic curl,P09,2D_norm,2D,normalized,133.97,105.9,28.07
Nordic curl,P09,3D_norm,3D,normalized,136.36,105.9,30.46
Nordic curl,P09,2D_world,2D,world,124.82,105.9,18.92
Nordic curl,P09,3D_world,3D,world,124.91,105.9,19.01
Nordic curl,P10,2D_norm,2D,normalized,117.74,116.8,0.94
Nordic curl,P10,3D_norm,3D,normalized,134.56,116.8,17.75
Nordic curl,P10,2D_world,2D,world,109.84,116.8,6.96
Nordic curl,P10,3D_world,3D,world,108.28,116.8,8.53
Nordic curl,P11,2D_norm,2D,normalized,127.31,97.22,30.08
Nordic curl,P11,3D_norm,3D,normalized,134.54,97.22,37.31
Nordic curl,P11,2D_world,2D,world,123.07,97.22,25.85
Nordic curl,P11,3D_world,3D,world,123.5,97.22,26.28
Nordic curl,P12,2D_norm,2D,normalized,124.51,96.69,27.83
Nordic curl,P12,3D_norm,3D,normalized,130.01,96.69,33.32
Nordic curl,P12,2D_world,2D,world,120.07,96.69,23.39
Nordic curl,P12,3D_world,3D,world,119.43,96.69,22.74
Nordic curl,P13,2D_norm,2D,normalized,126.12,93.28,32.84
Nordic curl,P13,3D_norm,3D,normalized,140.89,93.28,47.61
Nordic curl,P13,2D_world,2D,world,126.29,93.28,33.01
Nordic curl,P13,3D_world,3D,world,126.04,93.28,32.76
Nordic curl,P14,2D_norm,2D,normalized,148.69,99.87,48.82
Nordic curl,P14,3D_norm,3D,normalized,140.36,99.87,40.49
Nordic curl,P14,2D_world,2D,world,154.37,99.87,54.5
Nordic curl,P14,3D_world,3D,world,149.28,99.87,49.4
Nordic curl,P15,2D_norm,2D,normalized,131.89,112.66,19.23
Nordic curl,P15,3D_norm,3D,normalized,142.25,112.66,29.59
Nordic curl,P15,2D_world,2D,world,124.96,112.66,12.3
Nordic curl,P15,3D_world,3D,world,125.17,112.66,12.51
Nordic curl,P16,2D_norm,2D,normalized,130.81,110.65,20.16
Nordic curl,P16,3D_norm,3D,normalized,134.74,110.65,24.09
Nordic curl,P16,2D_world,2D,world,119.89,110.65,9.23
Nordic curl,P16,3D_world,3D,world,119.93,110.65,9.28
Nordic curl,P17,2D_norm,2D,normalized,133.1,104.16,28.94
Nordic curl,P17,3D_norm,3D,normalized,135.3,104.16,31.14
Nordic curl,P17,2D_world,2D,world,130.28,104.16,26.12
Nordic curl,P17,3D_world,3D,world,129.54,104.16,25.38
