Task,Plane,Subject,OMC,MMC_2D,MMC_3D_world,err_2D,err_3D
Hip internal rotation,out-of-plane,P03,75.5,73.0,57.6,2.5,17.9
Hip internal rotation,out-of-plane,P04,69.0,86.4,60.3,17.4,8.7
Hip internal rotation,out-of-plane,P05,70.5,84.5,84.7,14.0,14.2
Hip internal rotation,out-of-plane,P06,55.8,49.0,34.6,6.9,21.2
Hip internal rotation,out-of-plane,P07,60.4,67.8,43.0,7.3,17.4
Hip internal rotation,out-of-plane,P08,56.4,70.2,53.2,13.8,3.2
Hip internal rotation,out-of-plane,P09,69.6,85.6,66.9,15.9,2.8
Hip internal rotation,out-of-plane,P10,57.5,68.3,47.7,10.8,9.8
Hip internal rotation,out-of-plane,P11,35.8,51.7,41.3,15.9,5.4
Hip internal rotation,out-of-plane,P13,45.1,52.7,30.9,7.6,14.3
Hip internal rotation,out-of-plane,P14,52.8,58.5,42.3,5.7,10.5
Hip internal rotation,out-of-plane,P15,50.4,62.0,43.0,11.6,7.4
Hip internal rotation,out-of-plane,P16,47.4,52.8,39.5,5.4,7.9
Hip internal rotation,out-of-plane,P17,53.8,59.3,66.6,5.5,12.8
Hip internal rotation,out-of-plane,P18,66.4,76.7,58.5,10.2,8.0
Nordic curl,in-plane (sagittal),P03,89.0,95.1,107.3,6.2,18.4
Nordic curl,in-plane (sagittal),P04,122.1,139.2,121.4,17.1,0.8
Nordic curl,in-plane (sagittal),P05,127.4,135.5,115.4,8.1,12.0
Nordic curl,in-plane (sagittal),P06,95.4,116.7,112.4,21.3,17.0
Nordic curl,in-plane (sagittal),P07,88.0,106.2,97.5,18.2,9.5
Nordic curl,in-plane (sagittal),P08,109.0,131.8,121.7,22.8,12.6
Nordic curl,in-plane (sagittal),P09,105.9,134.0,124.9,28.1,19.0
Nordic curl,in-plane (sagittal),P10,116.8,117.7,108.3,1.0,8.5
Nordic curl,in-plane (sagittal),P11,97.2,127.3,123.5,30.1,26.3
Nordic curl,in-plane (sagittal),P12,96.7,124.5,119.4,27.8,22.7
Nordic curl,in-plane (sagittal),P13,93.3,126.1,126.0,32.8,32.8
Nordic curl,in-plane (sagittal),P14,99.9,148.1,148.7,48.2,48.9
Nordic curl,in-plane (sagittal),P15,112.7,131.9,125.2,19.2,12.5
Nordic curl,in-plane (sagittal),P16,110.7,130.8,119.9,20.2,9.3
Nordic curl,in-plane (sagittal),P17,104.2,133.1,129.5,28.9,25.4
Nordic curl,in-plane (sagittal),P18,120.7,141.3,126.7,20.6,6.1
